	Rk	Pk	Tm	Player	College	Yrs	G	MP	PTS	TRB	AST	FG%	3P%	FT%	MP	PTS	TRB	AST	WS	WS/48	BPM	VORP
43	42	42	HOU	Nick Johnson	University of Arizona	1	28	262	74	39	11	.347	.238	.680	9.4	2.6	1.4	0.4	-0.1	-.020	-7.3	-0.3
44	43	43	ATL	Walter Tavares		2	13	101	33	32	4	.625		.273	7.8	2.5	2.5	0.3	0.2	.118	-0.6	0.0
45	44	44	MIN	Markel Brown	Oklahoma State University	3	113	1794	584	234	132	.380	.295	.781	15.9	5.2	2.1	1.2	1.1	.029	-2.8	-0.4
46	45	45	CHH	Dwight Powell	Stanford University	4	254	4233	1676	1073	193	.535	.292	.739	16.7	6.6	4.2	0.8	14.9	.170	1.4	3.6
47	46	46	WAS	Jordan Clarkson	University of Missouri	4	301	8313	4257	967	832	.443	.339	.807	27.6	14.1	3.2	2.8	8.7	.050	-1.7	0.6
48	47	47	PHI	Russ Smith	University of Louisville	2	27	131	53	15	19	.319	.188	.769	4.9	2.0	0.6	0.7	-0.2	-.068	-6.4	-0.1
49	48	48	MIL	Lamar Patterson	University of Pittsburgh	2	40	435	93	57	45	.326	.236	.720	10.9	2.3	1.4	1.1	0.1	.006	-5.5	-0.4
50	49	49	CHI	Cameron Bairstow	University of New Mexico	2	36	167	44	36	7	.296	.200	.846	4.6	1.2	1.0	0.2	-0.1	-.021	-7.7	-0.2
51	50	50	PHO	Alec Brown	University of Wisconsin-Green Bay																	
52	51	51	NYK	Thanasis Antetokounmpo		1	2	6	6	1	0	.750	.000		3.0	3.0	0.5	0.0	0.0	.291	-4.1	0.0
53	52	52	PHI	Vasilije Micic																		
54	53	53	MIN	Alessandro Gentile																		
55	54	54	PHI	Nemanja Dangubic																		
56	55	55	MIA	Semaj Christon	Xavier University	1	64	973	183	87	130	.345	.190	.548	15.2	2.9	1.4	2.0	0.1	.006	-6.3	-1.1
57	56	56	DEN	Roy Devyn Marble	University of Iowa	2	44	457	97	69	29	.304	.222	.375	10.4	2.2	1.6	0.7	-0.3	-.028	-5.0	-0.3
58	57	57	IND	Louis Labeyrie																		
59	58	58	SAS	Jordan McRae	University of Tennessee	2	59	579	260	61	44	.404	.384	.774	9.8	4.4	1.0	0.7	0.5	.043	-5.7	-0.5
60	59	59	TOR	Xavier Thames	San Diego State University																	
61	60	60	SAS	Cory Jefferson	Baylor University	2	58	581	205	161	16	.444	.125	.583	10.0	3.5	2.8	0.3	0.9	.071	-4.6	-0.4
